sample	Cell_type	Region	Condition
AC_F_RT_rep1	Astrocytes	Front	RiboTag
AC_M_RT_rep1	Astrocytes	Middle	RiboTag
AC_R_RT_rep1	Astrocytes	Rear	RiboTag
AC_F_RT_rep2	Astrocytes	Front	RiboTag
AC_M_RT_rep2	Astrocytes	Middle	RiboTag
AC_R_RT_rep2	Astrocytes	Rear	RiboTag
AC_M_RT_rep3	Astrocytes	Middle	RiboTag
AC_R_RT_rep3	Astrocytes	Rear	RiboTag
MG_F_RT_rep2	Microglia	Front	RiboTag
MG_M_RT_rep2	Microglia	Middle	RiboTag
MG_R_RT_rep2	Microglia	Rear	RiboTag
MG_F_RT_rep3	Microglia	Front	RiboTag
MG_M_RT_rep3	Microglia	Middle	RiboTag
MG_R_RT_rep3	Microglia	Rear	RiboTag
MG_F_RT_rep1	Microglia	Front	RiboTag
MG_M_RT_rep1	Microglia	Middle	RiboTag
MG_R_RT_rep1	Microglia	Rear	RiboTag
AC_F_TR_rep1	Astrocytes	Front	TotalRNA
AC_M_TR_rep1	Astrocytes	Middle	TotalRNA
AC_R_TR_rep1	Astrocytes	Rear	TotalRNA
AC_F_TR_rep2	Astrocytes	Front	TotalRNA
AC_M_TR_rep2	Astrocytes	Middle	TotalRNA
AC_R_TR_rep2	Astrocytes	Rear	TotalRNA
AC_F_TR_rep3	Astrocytes	Front	TotalRNA
AC_M_TR_rep3	Astrocytes	Middle	TotalRNA
AC_R_TR_rep3	Astrocytes	Rear	TotalRNA
MG_F_TR_rep2	Microglia	Front	TotalRNA
MG_M_TR_rep2	Microglia	Middle	TotalRNA
MG_R_TR_rep2	Microglia	Rear	TotalRNA
MG_F_TR_rep3	Microglia	Front	TotalRNA
MG_M_TR_rep3	Microglia	Middle	TotalRNA
MG_R_TR_rep3	Microglia	Rear	TotalRNA
MG_F_TR_rep1	Microglia	Front	TotalRNA
MG_M_TR_rep1	Microglia	Middle	TotalRNA
MG_R_TR_rep1	Microglia	Rear	TotalRNA
