"","x"
"1","Kif26b"
"2","Nmnat2"
"3","Ier5"
"4","Cdc42bpa"
"5","Klhdc8a"
"6","Dcaf6"
"7","Bok"
"8","Igfbp5"
"9","Pdrg1"
"10","Tlk1"
"11","Dbndd2"
"12","Bmp7"
"13","Slc4a10"
"14","G6pdx"
"15","Dmd"
"16","Tspan7"
"17","Mrpl24"
"18","Phgdh"
"19","Magi3"
"20","Hcn3"
"21","Gfm1"
"22","S100a1"
"23","Disp3"
"24","Gabrd"
"25","Rimkla"
"26","Ankrd6"
"27","Car8"
"28","Rell1"
"29","Chst12"
"30","Slc29a4"
"31","Mgll"
"32","Ptms"
"33","Tmem176a"
"34","Nr2c2"
"35","Lrig1"
"36","Tax1bp1"
"37","Grm7"
"38","Nat8f1"
"39","Hrh1"
"40","Dennd2a"
"41","Eif3c"
"42","Inpp5f"
"43","Cyth2"
"44","Hs3st2"
"45","Gpi1"
"46","Kcnc2"
"47","Cox4i1"
"48","Ank1"
"49","Pgbd5"
"50","Kctd12"
"51","Rap2a"
"52","Ephx2"
"53","Lgi3"
"54","Sall2"
"55","Ogdhl"
"56","Cmtm5"
"57","Elovl5"
"58","Sh3bgrl2"
"59","Chst2"
"60","Ift46"
"61","Fxyd6"
"62","Smad3"
"63","Cspg5"
"64","Mindy2"
"65","Gria4"
"66","Timm22"
"67","Tenm2"
"68","Gria1"
"69","Car4"
"70","Usp32"
"71","Grin2c"
"72","Slc13a5"
"73","Actr2"
"74","Pnpo"
"75","Hmgcr"
"76","Ttll5"
"77","Dio2"
"78","Cep128"
"79","Snx13"
"80","Daam1"
"81","Dbpht2"
"82","Tunar"
"83","Dcaf5"
"84","Celsr1"
"85","Aco2"
"86","Pmm1"
"87","Sod1"
"88","Skic2"
"89","Ddx39b"
"90","Nudt3"
"91","Glo1"
"92","Gfra1"
"93","Nanos1"
"94","Rorb"
