"","x"
"1","1700025G04Rik"
"2","Sgpp2"
"3","Nmnat2"
"4","Rgs8"
"5","Ier5"
"6","Myo1b"
"7","Abl2"
"8","Actr3"
"9","Mcm3"
"10","Klhdc8a"
"11","Als2"
"12","Cntn2"
"13","Nfasc"
"14","Plekha6"
"15","Hsd11b1"
"16","Lrrfip1"
"17","Chil1"
"18","Syt2"
"19","Ildr2"
"20","Npas2"
"21","Rnf152"
"22","Adamts4"
"23","Rgs20"
"24","St18"
"25","Cables2"
"26","Slc27a4"
"27","Zfp341"
"28","Trp53inp2"
"29","Mmp24"
"30","Slc25a12"
"31","Gpr155"
"32","Epb41l1"
"33","Shf"
"34","Ndrg3"
"35","Osbpl6"
"36","Yme1l1"
"37","Mapk8ip1"
"38","Chst1"
"39","Fitm2"
"40","Rims4"
"41","Pamr1"
"42","Pltp"
"43","Pcif1"
"44","Cdh22"
"45","Slc20a1"
"46","Abtb2"
"47","Abca2"
"48","Garnl3"
"49","Bcas1"
"50","Bmp7"
"51","Nacc2"
"52","Gpsm1"
"53","Btbd3"
"54","Dab2ip"
"55","Rin2"
"56","Srp14"
"57","Pak6"
"58","Cst3"
"59","Syndig1"
"60","Nexmif"
"61","Cetn2"
"62","Atp2b3"
"63","Apln"
"64","Drp2"
"65","Tmem164"
"66","Arhgef9"
"67","Msn"
"68","Stard8"
"69","Efnb1"
"70","Zmym3"
"71","Hdac8"
"72","Rtca"
"73","F3"
"74","Gria2"
"75","Trpc3"
"76","Ndst3"
"77","Adamtsl4"
"78","Lrrc40"
"79","Setd7"
"80","Phgdh"
"81","Paqr6"
"82","Slc22a15"
"83","Dclk1"
"84","Car2"
"85","Lmo4"
"86","Inka2"
"87","Atp5pb"
"88","Lxn"
"89","Shc1"
"90","Tnik"
"91","Gnb4"
"92","Them4"
"93","Fbxo44"
"94","Lrp8"
"95","Cpt2"
"96","Spsb1"
"97","Whrn"
"98","Astn2"
"99","Epb41"
"100","Icmt"
"101","Trabd2b"
"102","Dhdds"
"103","Pik3r3"
"104","Faap20"
"105","Rcan3"
"106","Luzp1"
"107","Fndc10"
"108","Epha8"
"109","Rimkla"
"110","Kcnq4"
"111","Smap2"
"112","Col9a2"
"113","Gnl2"
"114","Trim62"
"115","Frrs1l"
"116","Epha7"
"117","Car8"
"118","Chd7"
"119","Grin3a"
"120","Cds1"
"121","Ctbp1"
"122","Steap2"
"123","Ociad2"
"124","Nat8l"
"125","Dipk1a"
"126","Add1"
"127","Flt3"
"128","Kit"
"129","Tmem165"
"130","Pan3"
"131","Grm3"
"132","Rgs12"
"133","Dok7"
"134","Pitpnm2"
"135","Tmem132b"
"136","Wscd2"
"137","Kcnh2"
"138","Tpst1"
"139","Caln1"
"140","Slc4a2"
"141","Pxn"
"142","Lgi2"
"143","Sel1l3"
"144","Rell1"
"145","Kcnk3"
"146","Slc30a3"
"147","Limk1"
"148","Tmem120a"
"149","Sh2b2"
"150","Slc29a4"
"151","Ephb6"
"152","Fam131b"
"153","Clstn3"
"154","Bcat1"
"155","Slc41a3"
"156","Ptms"
"157","AI854703"
"158","Wnt7a"
"159","Lrig1"
"160","Tspan9"
"161","Chn2"
"162","Pdzrn3"
"163","Lrrn1"
"164","Spr"
"165","Rab11fip5"
"166","Grid2"
"167","Grm7"
"168","Ndnf"
"169","Brpf1"
"170","Camk1"
"171","Atp6v1f"
"172","Ttll3"
"173","Klhdc10"
"174","Ret"
"175","Dennd11"
"176","Erc1"
"177","Tuba8"
"178","Gsg1l"
"179","Sbk1"
"180","Ccnd1"
"181","Stard5"
"182","Il16"
"183","Pcsk6"
"184","Tlcd3b"
"185","Kcnc3"
"186","Samd4b"
"187","Bcl7c"
"188","Lair1"
"189","Ap3s2"
"190","Inpp5f"
"191","Syt5"
"192","Crtc3"
"193","Grik5"
"194","Erf"
"195","Kcnc1"
"196","Ctbp2"
"197","Mag"
"198","Tmem86a"
"199","Lgi4"
"200","Scn1b"
"201","Inpp5a"
"202","Hs3st2"
"203","Cacng3"
"204","Pdcd5"
"205","Chpt1"
"206","Cdc40"
"207","Cdk17"
"208","Atp2b1"
"209","Rbms2"
"210","Gls2"
"211","Esyt1"
"212","Cnksr3"
"213","Vsir"
"214","Unc5b"
"215","Sgpl1"
"216","Map3k5"
"217","Epb41l2"
"218","Adora2a"
"219","Col18a1"
"220","Adarb1"
"221","Slc1a6"
"222","Hcn2"
"223","Plk5"
"224","Nfic"
"225","Pard6a"
"226","Arhgap10"
"227","Gfod2"
"228","Arhgef7"
"229","Sorbs2"
"230","Prkaca"
"231","Nacc1"
"232","Nek1"
"233","Cmip"
"234","Kcng4"
"235","Cbln1"
"236","Ank1"
"237","Trim67"
"238","Fnta"
"239","Efnb2"
"240","Nalf1"
"241","Car7"
"242","Trmt9b"
"243","Tppp3"
"244","Cryl1"
"245","Slitrk5"
"246","Kctd9"
"247","Lgi3"
"248","Armh4"
"249","Rnase4"
"250","Sall2"
"251","Gdf10"
"252","Fbxo9"
"253","Kirrel3"
"254","Tmem266"
"255","1700017B05Rik"
"256","Clmp"
"257","Endod1"
"258","4931406C07Rik"
"259","Zic1"
"260","Nectin1"
"261","Fat3"
"262","Tmem25"
"263","Tmem108"
"264","Kank2"
"265","Map2k1"
"266","Megf11"
"267","Anln"
"268","Rora"
"269","Golga4"
"270","Mindy2"
"271","Trak1"
"272","Vipr1"
"273","Hhatl"
"274","Snrk"
"275","Tmem158"
"276","Gria4"
"277","Slc43a2"
"278","Bcl11a"
"279","Foxj1"
"280","Git1"
"281","Lsm11"
"282","Rnd2"
"283","Traf4"
"284","Ubb"
"285","Mpp3"
"286","Arhgap44"
"287","Lsm12"
"288","Shisa6"
"289","Sowaha"
"290","Grn"
"291","Slc22a4"
"292","Adam11"
"293","C1ql1"
"294","Rab40b"
"295","Sparc"
"296","Gria1"
"297","Car4"
"298","Ppm1e"
"299","Septin4"
"300","Mink1"
"301","Tmem100"
"302","Pfn1"
"303","Btbd17"
"304","Grin2c"
"305","Fads6"
"306","Cdr2l"
"307","Spns2"
"308","Atp2a3"
"309","Cacna1g"
"310","Samd14"
"311","Itga3"
"312","Meis1"
"313","Btf3"
"314","Gfod1"
"315","Adcy2"
"316","Cd83"
"317","Diras2"
"318","Auh"
"319","Prpf4b"
"320","Arrdc3"
"321","Tspan17"
"322","Zfp346"
"323","Mef2c"
"324","Hpcal1"
"325","Ttll5"
"326","Grhl1"
"327","Rapgef5"
"328","Gpr68"
"329","Syt16"
"330","Hspa2"
"331","Atp6v1d"
"332","Tmem229b"
"333","Exd2"
"334","Cyp46a1"
"335","Susd6"
"336","Inf2"
"337","Shisa8"
"338","Mtss1"
"339","Tafa5"
"340","Khdrbs3"
"341","Slc45a4"
"342","Cmbl"
"343","Slc38a1"
"344","Rnd1"
"345","Asic1"
"346","Foxred2"
"347","Pvalb"
"348","Cdc42ep1"
"349","Syngr1"
"350","Polr3h"
"351","Maf1"
"352","Tiam1"
"353","Plcxd2"
"354","Ccdc74a"
"355","Nxpe3"
