"","x"
"1","Vxn"
"2","Sgpp2"
"3","Rgs8"
"4","Cacna1e"
"5","Ier5"
"6","Stum"
"7","Capn2"
"8","Ptma"
"9","Brinp2"
"10","C130074G19Rik"
"11","Ngef"
"12","Ankrd45"
"13","Klhdc8a"
"14","Als2"
"15","Cntn2"
"16","Nek2"
"17","Nfasc"
"18","Agap1"
"19","Atp2b4"
"20","Syt2"
"21","Ildr2"
"22","Fam78b"
"23","Rgs4"
"24","Bok"
"25","Pam"
"26","Kif21b"
"27","Rnf152"
"28","Ddx59"
"29","Pecr"
"30","Stk11ip"
"31","Scn3a"
"32","Usp6nl"
"33","Ttbk2"
"34","Mmp24"
"35","Rapgef4"
"36","Lrp4"
"37","Epb41l1"
"38","Shf"
"39","Dlgap4"
"40","Ndrg3"
"41","Src"
"42","Slc32a1"
"43","Ppp1r16b"
"44","Dhx35"
"45","Rims4"
"46","Pde1a"
"47","Cdh22"
"48","Sirpa"
"49","Prex1"
"50","Abca2"
"51","Kcnb1"
"52","Garnl3"
"53","Kcng1"
"54","Hspa5"
"55","Kcnt1"
"56","Plcb1"
"57","Nacc2"
"58","Gpsm1"
"59","Btbd3"
"60","Pcsk2"
"61","Dab2ip"
"62","Rasgrp1"
"63","Syndig1"
"64","Abhd12"
"65","Mmadhc"
"66","Pkp4"
"67","Slc4a10"
"68","Slc16a2"
"69","Gabra3"
"70","Gria3"
"71","Iqsec2"
"72","Apln"
"73","Fgf13"
"74","Wdr13"
"75","Msn"
"76","Jade3"
"77","Cdk16"
"78","Zmym3"
"79","Gpr88"
"80","Slitrk3"
"81","Plppr5"
"82","Rapgef2"
"83","F3"
"84","Gria2"
"85","Gucy1b1"
"86","Npy2r"
"87","St6galnac5"
"88","Sema6c"
"89","Prss12"
"90","Rab33b"
"91","Paqr6"
"92","Sertm1"
"93","Atp1a1"
"94","Impa1"
"95","Magi3"
"96","Lmo4"
"97","Lxn"
"98","Rpl22l1"
"99","Adgrb2"
"100","Slc25a33"
"101","Spsb1"
"102","Whrn"
"103","Zfyve9"
"104","Astn2"
"105","Epb41"
"106","Icmt"
"107","Paqr7"
"108","Pik3r3"
"109","Man1c1"
"110","Faap20"
"111","Rcan3"
"112","Pithd1"
"113","Fndc10"
"114","Tmem240"
"115","Aurkaip1"
"116","Epha8"
"117","Camk2n1"
"118","Rimkla"
"119","Iffo2"
"120","Hpcal4"
"121","Trim62"
"122","Rnf19b"
"123","Frrs1l"
"124","Lyn"
"125","Akirin2"
"126","Car8"
"127","Chd7"
"128","Pdp1"
"129","Il11ra1"
"130","Rnf20"
"131","Kctd8"
"132","Gabrb1"
"133","Ctbp1"
"134","Nat8l"
"135","Kit"
"136","Pan3"
"137","Pitpnm2"
"138","Fbrsl1"
"139","Crybb1"
"140","Evc2"
"141","Tmem132b"
"142","Gsap"
"143","Wscd2"
"144","Rimbp2"
"145","Acacb"
"146","Kcnh2"
"147","Caln1"
"148","Cabp1"
"149","Actr3b"
"150","Lgi2"
"151","Sel1l3"
"152","Kcnk3"
"153","Klhl5"
"154","Rph3a"
"155","Trafd1"
"156","Limk1"
"157","Elfn1"
"158","Slc29a4"
"159","Actb"
"160","Slco1c1"
"161","Ephb6"
"162","Golt1b"
"163","Fam131b"
"164","Rmnd5a"
"165","Clstn3"
"166","Bcat1"
"167","Lrrtm1"
"168","Prickle2"
"169","Pals2"
"170","Lrig1"
"171","Ccnd2"
"172","Tspan9"
"173","Chn2"
"174","Wipf3"
"175","Scrn1"
"176","Grin2b"
"177","Grid2"
"178","Grm7"
"179","Add2"
"180","Lmo3"
"181","Strip2"
"182","Atp2b2"
"183","Plxnd1"
"184","Dennd11"
"185","Tuba8"
"186","Sbk1"
"187","Iglon5"
"188","Il16"
"189","Pcsk6"
"190","Slc8a2"
"191","Tlcd3b"
"192","Grm5"
"193","Pld3"
"194","Me3"
"195","Kcnc3"
"196","Timm50"
"197","Atf5"
"198","Fam174b"
"199","Swap70"
"200","Mfge8"
"201","Mical2"
"202","Tenm4"
"203","Slc17a7"
"204","Inpp5f"
"205","Shisa7"
"206","Isoc2a"
"207","U2af2"
"208","Arhgap33"
"209","Grik5"
"210","Smg1"
"211","Ppme1"
"212","Gpr26"
"213","Kcnc1"
"214","Ctbp2"
"215","Mag"
"216","Ptpn5"
"217","Inpp5a"
"218","Cacng3"
"219","Hs3st4"
"220","Zfp365"
"221","Agap2"
"222","Os9"
"223","Btg1"
"224","Atp2b1"
"225","Phyhipl"
"226","Ppfia2"
"227","Gls2"
"228","P4ha1"
"229","Zfc3h1"
"230","Esyt1"
"231","Cnksr3"
"232","Grm1"
"233","Unc5b"
"234","Epb41l2"
"235","L3mbtl3"
"236","Icosl"
"237","Slc1a6"
"238","Stk11"
"239","Plk5"
"240","Lingo3"
"241","Nfic"
"242","Celf5"
"243","Appl2"
"244","Pard6a"
"245","Arhgef7"
"246","Fat1"
"247","Slc25a4"
"248","Gas6"
"249","Prkaca"
"250","Dlgap2"
"251","Cmip"
"252","Cpe"
"253","Klhl2"
"254","Kcng4"
"255","Cbln1"
"256","Lpl"
"257","Ncan"
"258","Cyld"
"259","Ank1"
"260","Cpne7"
"261","Def8"
"262","Trim67"
"263","Fnta"
"264","Ctxn1"
"265","Adgrg1"
"266","Cdh11"
"267","Nrp1"
"268","Car7"
"269","Trmt9b"
"270","Zmiz1"
"271","Fbxo34"
"272","Lmo7"
"273","Slitrk5"
"274","Erc2"
"275","Clu"
"276","Ptk2b"
"277","Tmtc4"
"278","Lgi3"
"279","Hr"
"280","Armh4"
"281","Vstm4"
"282","Cpne6"
"283","Emc9"
"284","Zbtb16"
"285","Aplp2"
"286","Dixdc1"
"287","Kirrel3"
"288","Tpbg"
"289","Tmem266"
"290","Nrgn"
"291","Camkv"
"292","Clmp"
"293","Amotl1"
"294","Sema7a"
"295","Zic1"
"296","Dipk2a"
"297","Mrps22"
"298","Atg4d"
"299","Lrrc49"
"300","Scn4b"
"301","Kank2"
"302","Rgl3"
"303","2900052N01Rik"
"304","Megf11"
"305","Lactb"
"306","Arpp21"
"307","Rora"
"308","Mindy2"
"309","Cck"
"310","Snrk"
"311","Gria4"
"312","Slc43a2"
"313","Ccdc88a"
"314","Rapgefl1"
"315","Jup"
"316","Foxj1"
"317","Git1"
"318","Wwc1"
"319","Rbfox3"
"320","Traf4"
"321","Tlcd1"
"322","Mpp3"
"323","Nlk"
"324","Shisa6"
"325","Arhgdia"
"326","Ntn1"
"327","Rab40b"
"328","Nmt1"
"329","Acsl6"
"330","Sparc"
"331","Tex2"
"332","Septin4"
"333","Mink1"
"334","Tmem100"
"335","Sdk2"
"336","Grin2c"
"337","Cdr2l"
"338","Atp2a3"
"339","Cacna1g"
"340","Ppp1r9b"
"341","Sgsm2"
"342","Enc1"
"343","Ptdss1"
"344","Phactr1"
"345","Gfod1"
"346","Adcy2"
"347","Aldh5a1"
"348","Diras2"
"349","Auh"
"350","Arrdc3"
"351","Mef2c"
"352","Pdlim7"
"353","Homer1"
"354","Sv2c"
"355","Ptch1"
"356","Rasgrf2"
"357","Pdia6"
"358","Odc1"
"359","Hpcal1"
"360","Ttll5"
"361","Pnn"
"362","Lrfn5"
"363","Tmem229b"
"364","Bcl11b"
"365","Cyp46a1"
"366","Sipa1l1"
"367","Rgs6"
"368","Cyria"
"369","Sptb"
"370","Shisa8"
"371","Pde1b"
"372","Mtss1"
"373","Shisal1"
"374","Cerk"
"375","Kcnq3"
"376","Zfr"
"377","Trabd"
"378","Cdh18"
"379","Ankrd33b"
"380","Adgrb1"
"381","Them6"
"382","Prickle1"
"383","Slc38a1"
"384","Cacnb3"
"385","Ddn"
"386","Enpp2"
"387","Asic1"
"388","Kifc2"
"389","Tamalin"
"390","Txn2"
"391","Pvalb"
"392","Cyth4"
"393","Card10"
"394","Kcnj4"
"395","Mchr1"
"396","Plcxd2"
"397","Tmem191"
"398","Lztr1"
"399","Dgcr2"
"400","Fam131a"
"401","Kalrn"
"402","Ehmt2"
"403","Abhd16a"
"404","Mtcl1"
"405","Antkmt"
"406","Mrpl28"
"407","Syngap1"
"408","Grm4"
"409","Map4k3"
"410","Tmem178"
"411","Pde9a"
"412","Pknox1"
"413","Cyp4f15"
"414","Synpo"
"415","Camk2a"
"416","Ablim3"
"417","Nrep"
"418","Lrrtm2"
"419","Stk32a"
"420","Myo5b"
"421","St8sia5"
"422","Zfp521"
"423","Jcad"
"424","Afap1l2"
"425","Cfl1"
"426","Ltbp3"
"427","Ehd1"
"428","Chrm1"
"429","Sema4g"
"430","Kcnip2"
"431","Psd"
"432","Trim8"
"433","Ina"
"434","Gda"
"435","Pdcd4"
"436","Tcf7l2"
"437","Bad"
